dependency,n_layers,layers,num_projects
golang.org/x/sys,4,cross_cutting;data_pipelines;integration_serving;training,14
google.golang.org/genproto/googleapis/rpc,4,cross_cutting;data_pipelines;integration_serving;training,14
google.golang.org/grpc,4,cross_cutting;data_pipelines;integration_serving;training,14
google.golang.org/protobuf,4,cross_cutting;data_pipelines;integration_serving;training,14
golang.org/x/net,4,cross_cutting;data_pipelines;integration_serving;training,13
golang.org/x/text,4,cross_cutting;data_pipelines;integration_serving;training,12
google.golang.org/genproto/googleapis/api,4,cross_cutting;data_pipelines;integration_serving;training,12
github.com/prometheus/client_model,4,cross_cutting;data_pipelines;integration_serving;training,11
github.com/cncf/xds/go,4,cross_cutting;data_pipelines;integration_serving;training,8
github.com/envoyproxy/go-control-plane/envoy,4,cross_cutting;data_pipelines;integration_serving;training,8
github.com/envoyproxy/protoc-gen-validate,4,cross_cutting;data_pipelines;integration_serving;training,8
github.com/planetscale/vtprotobuf,4,cross_cutting;data_pipelines;integration_serving;training,8
github.com/davecgh/go-spew,3,cross_cutting;data_pipelines;training,13
gopkg.in/yaml.v3,3,cross_cutting;data_pipelines;training,13
github.com/google/uuid,3,cross_cutting;data_pipelines;training,12
github.com/cespare/xxhash/v2,3,cross_cutting;data_pipelines;training,11
github.com/felixge/httpsnoop,3,cross_cutting;data_pipelines;training,11
github.com/go-logr/logr,3,cross_cutting;data_pipelines;training,11
github.com/go-logr/stdr,3,cross_cutting;data_pipelines;training,11
github.com/gogo/protobuf,3,cross_cutting;data_pipelines;training,11
github.com/golang/protobuf,3,cross_cutting;data_pipelines;training,11
github.com/json-iterator/go,3,cross_cutting;data_pipelines;training,11
github.com/modern-go/concurrent,3,cross_cutting;data_pipelines;training,11
github.com/modern-go/reflect2,3,cross_cutting;data_pipelines;training,11
github.com/munnerz/goautoneg,3,cross_cutting;data_pipelines;training,11
github.com/pmezard/go-difflib,3,cross_cutting;data_pipelines;training,11
github.com/prometheus/procfs,3,cross_cutting;data_pipelines;training,11
github.com/stretchr/testify,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/auto/sdk,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/otel,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/otel/metric,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/otel/sdk,3,cross_cutting;data_pipelines;training,11
go.opentelemetry.io/otel/trace,3,cross_cutting;data_pipelines;training,11
golang.org/x/crypto,3,cross_cutting;data_pipelines;training,11
golang.org/x/mod,3,cross_cutting;data_pipelines;training,11
golang.org/x/oauth2,3,cross_cutting;data_pipelines;training,11
golang.org/x/sync,3,cross_cutting;data_pipelines;training,11
golang.org/x/term,3,cross_cutting;data_pipelines;training,11
golang.org/x/time,3,cross_cutting;data_pipelines;training,11
sigs.k8s.io/yaml,3,cross_cutting;data_pipelines;training,11
github.com/beorn7/perks,3,cross_cutting;data_pipelines;training,10
github.com/fxamacker/cbor/v2,3,cross_cutting;data_pipelines;training,10
github.com/gorilla/websocket,3,cross_cutting;data_pipelines;training,10
github.com/grpc-ecosystem/grpc-gateway/v2,3,cross_cutting;data_pipelines;training,10
github.com/klauspost/compress,3,cross_cutting;data_pipelines;training,10
github.com/pkg/errors,3,cross_cutting;data_pipelines;training,10
github.com/prometheus/client_golang,3,cross_cutting;data_pipelines;training,10
github.com/prometheus/common,3,cross_cutting;data_pipelines;training,10
github.com/sirupsen/logrus,3,cross_cutting;data_pipelines;training,10
github.com/x448/float16,3,cross_cutting;data_pipelines;training,10
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc,3,cross_cutting;data_pipelines;training,10
go.opentelemetry.io/proto/otlp,3,cross_cutting;data_pipelines;training,10
gopkg.in/inf.v0,3,cross_cutting;data_pipelines;training,10
k8s.io/apimachinery,3,cross_cutting;data_pipelines;training,10
k8s.io/client-go,3,cross_cutting;data_pipelines;training,10
k8s.io/klog/v2,3,cross_cutting;data_pipelines;training,10
k8s.io/utils,3,cross_cutting;data_pipelines;training,10
sigs.k8s.io/json,3,cross_cutting;data_pipelines;training,10
numpy,3,data_pipelines;integration_serving;training,10
cloud.google.com/go/compute/metadata,3,cross_cutting;data_pipelines;training,9
github.com/go-openapi/jsonpointer,3,cross_cutting;data_pipelines;training,9
github.com/go-openapi/jsonreference,3,cross_cutting;data_pipelines;training,9
github.com/go-openapi/swag,3,cross_cutting;data_pipelines;training,9
github.com/google/s2a-go,3,cross_cutting;data_pipelines;training,9
github.com/googleapis/enterprise-certificate-proxy,3,cross_cutting;data_pipelines;training,9
github.com/googleapis/gax-go/v2,3,cross_cutting;data_pipelines;training,9
golang.org/x/tools,3,cross_cutting;data_pipelines;training,9
google.golang.org/api,3,cross_cutting;data_pipelines;training,9
golang.org/x/exp,3,cross_cutting;data_pipelines;training,9
cloud.google.com/go/auth,3,cross_cutting;data_pipelines;training,8
cloud.google.com/go/auth/oauth2adapt,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/config,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/credentials,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/internal/configsources,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/internal/ini,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/service/sso,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/service/ssooidc,3,cross_cutting;data_pipelines;training,8
github.com/aws/aws-sdk-go-v2/service/sts,3,cross_cutting;data_pipelines;training,8
github.com/aws/smithy-go,3,cross_cutting;data_pipelines;training,8
github.com/dustin/go-humanize,3,cross_cutting;data_pipelines;training,8
github.com/go-jose/go-jose/v4,3,cross_cutting;data_pipelines;training,8
github.com/spf13/pflag,3,cross_cutting;data_pipelines;training,8
google.golang.org/genproto,3,cross_cutting;data_pipelines;training,8
github.com/hashicorp/errwrap,3,cross_cutting;data_pipelines;training,8
github.com/go-openapi/errors,3,cross_cutting;data_pipelines;training,7
github.com/go-openapi/strfmt,3,cross_cutting;data_pipelines;training,7
github.com/go-viper/mapstructure/v2,3,cross_cutting;data_pipelines;training,7
github.com/google/btree,3,cross_cutting;data_pipelines;training,7
github.com/spf13/cast,3,cross_cutting;data_pipelines;training,7
gopkg.in/yaml.v2,3,cross_cutting;data_pipelines;training,7
cel.dev/expr,3,cross_cutting;data_pipelines;training,7
cloud.google.com/go,3,cross_cutting;data_pipelines;training,7
cloud.google.com/go/iam,3,cross_cutting;data_pipelines;training,7
cloud.google.com/go/storage,3,cross_cutting;data_pipelines;training,7
go.uber.org/multierr,3,cross_cutting;data_pipelines;training,7
go.uber.org/zap,3,cross_cutting;data_pipelines;training,7
packaging,3,data_pipelines;integration_serving;training,7
pydantic,3,data_pipelines;integration_serving;training,7
torch,3,data_pipelines;integration_serving;training,7
transformers,3,data_pipelines;integration_serving;training,7
github.com/go-openapi/analysis,3,cross_cutting;data_pipelines;training,6
github.com/go-openapi/loads,3,cross_cutting;data_pipelines;training,6
github.com/go-openapi/spec,3,cross_cutting;data_pipelines;training,6
github.com/go-openapi/validate,3,cross_cutting;data_pipelines;training,6
github.com/valyala/bytebufferpool,3,cross_cutting;data_pipelines;training,6
cloud.google.com/go/monitoring,3,cross_cutting;data_pipelines;training,6
github.com/googlecloudplatform/opentelemetry-operations-go/detectors/gcp,3,cross_cutting;data_pipelines;training,6
github.com/googlecloudplatform/opentelemetry-operations-go/exporter/metric,3,cross_cutting;data_pipelines;training,6
github.com/googlecloudplatform/opentelemetry-operations-go/internal/resourcemapping,3,cross_cutting;data_pipelines;training,6
github.com/klauspost/cpuid/v2,3,cross_cutting;data_pipelines;training,6
