dependency,n_layers,layers,num_projects
github.com/spiffe/go-spiffe/v2,3,cross_cutting;data_pipelines;training,6
go.opentelemetry.io/contrib/detectors/gcp,3,cross_cutting;data_pipelines;training,6
go.opentelemetry.io/otel/sdk/metric,3,cross_cutting;data_pipelines;training,6
tqdm,3,data_pipelines;integration_serving;training,6
github.com/antlr4-go/antlr/v4,3,cross_cutting;data_pipelines;training,5
github.com/go-ini/ini,3,cross_cutting;data_pipelines;training,5
github.com/go-sql-driver/mysql,3,cross_cutting;data_pipelines;training,5
github.com/hashicorp/go-uuid,3,cross_cutting;data_pipelines;training,5
github.com/klauspost/pgzip,3,cross_cutting;data_pipelines;training,5
github.com/minio/md5-simd,3,cross_cutting;data_pipelines;training,5
github.com/minio/minio-go/v7,3,cross_cutting;data_pipelines;training,5
github.com/pelletier/go-toml/v2,3,cross_cutting;data_pipelines;training,5
github.com/rs/xid,3,cross_cutting;data_pipelines;training,5
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,3,cross_cutting;data_pipelines;training,5
github.com/goccy/go-json,3,cross_cutting;data_pipelines;training,5
golang.org/x/xerrors,3,cross_cutting;data_pipelines;training,5
github.com/google/pprof,3,cross_cutting;data_pipelines;training,5
psutil,3,data_pipelines;integration_serving;training,5
requests,3,data_pipelines;integration_serving;training,5
typing-extensions,3,data_pipelines;integration_serving;training,5
github.com/expr-lang/expr,3,cross_cutting;data_pipelines;training,4
github.com/go-openapi/runtime,3,cross_cutting;data_pipelines;training,4
github.com/grpc-ecosystem/grpc-gateway,3,cross_cutting;data_pipelines;training,4
github.com/valyala/fasttemplate,3,cross_cutting;data_pipelines;training,4
filippo.io/edwards25519,3,cross_cutting;data_pipelines;training,4
github.com/grpc-ecosystem/go-grpc-prometheus,3,cross_cutting;data_pipelines;training,4
github.com/jcmturner/aescts/v2,3,cross_cutting;data_pipelines;training,4
github.com/jcmturner/dnsutils/v2,3,cross_cutting;data_pipelines;training,4
github.com/jcmturner/gofork,3,cross_cutting;data_pipelines;training,4
github.com/jcmturner/gokrb5/v8,3,cross_cutting;data_pipelines;training,4
github.com/jcmturner/rpc/v2,3,cross_cutting;data_pipelines;training,4
github.com/minio/crc64nvme,3,cross_cutting;data_pipelines;training,4
github.com/philhofer/fwd,3,cross_cutting;data_pipelines;training,4
github.com/tinylib/msgp,3,cross_cutting;data_pipelines;training,4
github.com/opencontainers/runtime-spec,3,cross_cutting;data_pipelines;training,4
github.com/gorilla/mux,3,cross_cutting;data_pipelines;training,4
typing_extensions,3,data_pipelines;integration_serving;training,4
github.com/rogpeppe/go-internal,3,cross_cutting;data_pipelines;training,3
pandas,3,data_pipelines;integration_serving;training,3
github.com/fsnotify/fsnotify,2,cross_cutting;training,10
github.com/google/go-cmp,2,cross_cutting;training,9
go.opentelemetry.io/otel/exporters/otlp/otlptrace,2,cross_cutting;data_pipelines,9
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc,2,cross_cutting;data_pipelines,9
k8s.io/kube-openapi,2,cross_cutting;training,9
sigs.k8s.io/randfill,2,cross_cutting;training,9
github.com/cenkalti/backoff/v5,2,cross_cutting;training,8
github.com/emicklei/go-restful/v3,2,cross_cutting;training,8
github.com/golang-jwt/jwt/v5,2,cross_cutting;data_pipelines,8
github.com/kylelemons/godebug,2,cross_cutting;data_pipelines,8
github.com/mattn/go-colorable,2,cross_cutting;data_pipelines,8
github.com/mattn/go-isatty,2,cross_cutting;data_pipelines,8
github.com/pkg/browser,2,cross_cutting;data_pipelines,8
go.yaml.in/yaml/v2,2,cross_cutting;training,8
k8s.io/api,2,cross_cutting;training,8
sigs.k8s.io/structured-merge-diff/v6,2,cross_cutting;training,8
github.com/docker/go-units,2,cross_cutting;data_pipelines,8
dario.cat/mergo,2,cross_cutting;training,7
github.com/azure/azure-sdk-for-go/sdk/azcore,2,cross_cutting;data_pipelines,7
github.com/azure/azure-sdk-for-go/sdk/azidentity,2,cross_cutting;data_pipelines,7
github.com/azure/azure-sdk-for-go/sdk/internal,2,cross_cutting;data_pipelines,7
github.com/azuread/microsoft-authentication-library-for-go,2,cross_cutting;data_pipelines,7
github.com/masterminds/semver/v3,2,cross_cutting;training,7
github.com/aws/aws-sdk-go-v2/service/signin,2,cross_cutting;training,7
github.com/fatih/color,2,cross_cutting;data_pipelines,7
github.com/golang-jwt/jwt/v4,2,cross_cutting;data_pipelines,7
github.com/google/gnostic-models,2,cross_cutting;training,7
github.com/mitchellh/copystructure,2,cross_cutting;training,7
github.com/mitchellh/reflectwalk,2,cross_cutting;training,7
github.com/stretchr/objx,2,cross_cutting;data_pipelines,7
go.yaml.in/yaml/v3,2,cross_cutting;training,7
gopkg.in/evanphx/json-patch.v4,2,cross_cutting;training,7
github.com/containerd/log,2,cross_cutting;training,7
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp,2,cross_cutting;data_pipelines,7
github.com/coreos/go-systemd/v22,2,cross_cutting;data_pipelines,7
protobuf,2,integration_serving;training,7
github.com/masterminds/goutils,2,cross_cutting;training,6
github.com/masterminds/sprig/v3,2,cross_cutting;training,6
github.com/go-openapi/swag/jsonname,2,cross_cutting;training,6
github.com/grpc-ecosystem/go-grpc-middleware/v2,2,cross_cutting;training,6
github.com/huandu/xstrings,2,cross_cutting;training,6
github.com/inconshreveable/mousetrap,2,cross_cutting;data_pipelines,6
github.com/josharian/intern,2,cross_cutting;data_pipelines,6
github.com/mailru/easyjson,2,cross_cutting;data_pipelines,6
github.com/mattn/go-runewidth,2,cross_cutting;data_pipelines,6
github.com/mitchellh/mapstructure,2,cross_cutting;data_pipelines,6
github.com/moby/spdystream,2,cross_cutting;training,6
github.com/mxk/go-flowrate,2,cross_cutting;training,6
github.com/shopspring/decimal,2,cross_cutting;training,6
go.uber.org/atomic,2,cross_cutting;data_pipelines,6
github.com/go-ole/go-ole,2,cross_cutting;data_pipelines,6
github.com/mitchellh/go-homedir,2,cross_cutting;data_pipelines,6
github.com/hashicorp/go-multierror,2,cross_cutting;data_pipelines,6
github.com/hashicorp/golang-lru,2,cross_cutting;data_pipelines,6
setuptools,2,integration_serving;training,6
github.com/blang/semver/v4,2,cross_cutting;data_pipelines,5
github.com/cenkalti/backoff/v4,2,cross_cutting;data_pipelines,5
github.com/cyphar/filepath-securejoin,2,cross_cutting;training,5
github.com/go-openapi/swag/conv,2,cross_cutting;training,5
github.com/go-openapi/swag/fileutils,2,cross_cutting;training,5
github.com/go-openapi/swag/jsonutils,2,cross_cutting;training,5
github.com/go-openapi/swag/loading,2,cross_cutting;training,5
github.com/go-openapi/swag/mangling,2,cross_cutting;training,5
github.com/go-openapi/swag/stringutils,2,cross_cutting;training,5
github.com/go-openapi/swag/typeutils,2,cross_cutting;training,5
github.com/go-openapi/swag/yamlutils,2,cross_cutting;training,5
github.com/golang/groupcache,2,cross_cutting;training,5
github.com/jonboulle/clockwork,2,cross_cutting;data_pipelines,5
github.com/oklog/ulid/v2,2,cross_cutting;training,5
github.com/robfig/cron/v3,2,cross_cutting;training,5
k8s.io/apiextensions-apiserver,2,cross_cutting;training,5
github.com/azure/azure-sdk-for-go/sdk/storage/azblob,2,cross_cutting;data_pipelines,5
github.com/lufia/plan9stats,2,cross_cutting;data_pipelines,5
github.com/power-devops/perfstat,2,cross_cutting;data_pipelines,5
github.com/spf13/afero,2,cross_cutting;training,5
github.com/tklauser/go-sysconf,2,cross_cutting;data_pipelines,5
github.com/tklauser/numcpus,2,cross_cutting;data_pipelines,5
github.com/yusufpapurcu/wmi,2,cross_cutting;data_pipelines,5
gopkg.in/ini.v1,2,cross_cutting;data_pipelines,5
go.etcd.io/bbolt,2,cross_cutting;data_pipelines,5
github.com/armon/go-metrics,2,cross_cutting;data_pipelines,5
github.com/coreos/go-semver,2,cross_cutting;data_pipelines,5
github.com/golang/snappy,2,cross_cutting;data_pipelines,5
github.com/hashicorp/go-immutable-radix,2,cross_cutting;data_pipelines,5
github.com/jmespath/go-jmespath,2,cross_cutting;training,5
github.com/miekg/dns,2,cross_cutting;data_pipelines,5
go.etcd.io/etcd/api/v3,2,cross_cutting;data_pipelines,5
go.etcd.io/etcd/client/pkg/v3,2,cross_cutting;data_pipelines,5
go.etcd.io/etcd/client/v3,2,cross_cutting;data_pipelines,5
go.mongodb.org/mongo-driver,2,cross_cutting;data_pipelines,5
scipy,2,data_pipelines;training,5
accelerate,2,integration_serving;training,5
datasets,2,integration_serving;training,5
cyphar.com/go-pathrs,2,cross_cutting;training,4
github.com/olekukonko/tablewriter,2,cross_cutting;data_pipelines,4
github.com/andybalholm/brotli,2,cross_cutting;data_pipelines,4
github.com/ebitengine/purego,2,cross_cutting;data_pipelines,4
github.com/google/cel-go,2,cross_cutting;training,4
github.com/lib/pq,2,cross_cutting;data_pipelines,4
github.com/remyoudompheng/bigfft,2,cross_cutting;data_pipelines,4
github.com/shirou/gopsutil/v4,2,cross_cutting;data_pipelines,4
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetricgrpc,2,cross_cutting;training,4
go.opentelemetry.io/otel/exporters/otlp/otlpmetric/otlpmetrichttp,2,cross_cutting;training,4
go.opentelemetry.io/otel/exporters/prometheus,2,cross_cutting;training,4
go.uber.org/mock,2,cross_cutting;data_pipelines,4
go.opencensus.io,2,cross_cutting;training,4
github.com/apache/thrift,2,cross_cutting;data_pipelines,4
github.com/aws/aws-sdk-go,2,cross_cutting;training,4
github.com/aws/aws-sdk-go-v2/internal/v4a,2,cross_cutting;training,4
github.com/aws/aws-sdk-go-v2/service/internal/checksum,2,cross_cutting;training,4
github.com/aws/aws-sdk-go-v2/service/internal/s3shared,2,cross_cutting;training,4
github.com/aws/aws-sdk-go-v2/service/s3,2,cross_cutting;training,4
github.com/buger/jsonparser,2,cross_cutting;data_pipelines,4
github.com/go-openapi/swag/cmdutils,2,cross_cutting;training,4
github.com/go-openapi/swag/netutils,2,cross_cutting;training,4
github.com/hashicorp/go-metrics,2,cross_cutting;data_pipelines,4
github.com/oklog/ulid,2,cross_cutting;data_pipelines,4
github.com/pierrec/lz4/v4,2,cross_cutting;data_pipelines,4
github.com/zeebo/xxh3,2,cross_cutting;data_pipelines,4
golang.org/x/telemetry,2,cross_cutting;data_pipelines,4
click,2,integration_serving;training,4
fastapi,2,integration_serving;training,4
sentencepiece,2,integration_serving;training,4
github.com/bmatcuk/doublestar/v4,2,cross_cutting;data_pipelines,3
github.com/coreos/go-oidc/v3,2,cross_cutting;data_pipelines,3
github.com/google/shlex,2,cross_cutting;data_pipelines,3
github.com/rs/cors,2,cross_cutting;data_pipelines,3
github.com/soheilhy/cmux,2,cross_cutting;data_pipelines,3
gomodules.xyz/jsonpatch/v2,2,cross_cutting;training,3
k8s.io/code-generator,2,cross_cutting;training,3
k8s.io/gengo/v2,2,cross_cutting;training,3
github.com/grpc-ecosystem/go-grpc-middleware,2,cross_cutting;data_pipelines,3
github.com/jackc/pgpassfile,2,cross_cutting;training,3
github.com/jackc/pgservicefile,2,cross_cutting;training,3
github.com/jackc/pgx/v5,2,cross_cutting;training,3
github.com/jackc/puddle/v2,2,cross_cutting;training,3
github.com/jcmturner/goidentity/v6,2,cross_cutting;training,3
github.com/magiconair/properties,2,cross_cutting;data_pipelines,3
github.com/sagikazarmark/locafero,2,cross_cutting;training,3
github.com/sourcegraph/conc,2,cross_cutting;training,3
github.com/spf13/viper,2,cross_cutting;training,3
github.com/subosito/gotenv,2,cross_cutting;training,3
github.com/tidwall/gjson,2,cross_cutting;data_pipelines,3
github.com/tidwall/match,2,cross_cutting;data_pipelines,3
github.com/tidwall/pretty,2,cross_cutting;data_pipelines,3
github.com/containerd/ttrpc,2,cross_cutting;training,3
github.com/godbus/dbus/v5,2,cross_cutting;data_pipelines,3
github.com/moby/sys/mountinfo,2,cross_cutting;training,3
github.com/azure/go-ntlmssp,2,cross_cutting;data_pipelines,3
github.com/aws/aws-sdk-go-v2/feature/s3/manager,2,cross_cutting;training,3
github.com/bits-and-blooms/bitset,2,cross_cutting;data_pipelines,3
github.com/google/flatbuffers,2,cross_cutting;data_pipelines,3
github.com/hashicorp/go-msgpack/v2,2,cross_cutting;data_pipelines,3
github.com/hashicorp/go-sockaddr,2,cross_cutting;data_pipelines,3
github.com/hashicorp/golang-lru/v2,2,cross_cutting;data_pipelines,3
github.com/hashicorp/memberlist,2,cross_cutting;data_pipelines,3
github.com/klauspost/asmfmt,2,cross_cutting;data_pipelines,3
github.com/mattn/go-ieproxy,2,cross_cutting;data_pipelines,3
github.com/minio/asm2plan9s,2,cross_cutting;data_pipelines,3
github.com/minio/c2goasm,2,cross_cutting;data_pipelines,3
github.com/opentracing/opentracing-go,2,cross_cutting;data_pipelines,3
github.com/prometheus/prometheus,2,cross_cutting;data_pipelines,3
github.com/sean-/seed,2,cross_cutting;data_pipelines,3
github.com/uber/jaeger-client-go,2,cross_cutting;data_pipelines,3
go.opentelemetry.io/otel/exporters/jaeger,2,cross_cutting;data_pipelines,3
go.opentelemetry.io/otel/exporters/stdout/stdouttrace,2,cross_cutting;data_pipelines,3
gopkg.in/natefinch/lumberjack.v2,2,cross_cutting;data_pipelines,3
github.com/felixge/fgprof,2,cross_cutting;data_pipelines,3
github.com/gofrs/flock,2,cross_cutting;data_pipelines,3
github.com/rivo/uniseg,2,cross_cutting;data_pipelines,3
fsspec,2,data_pipelines;training,3
ruamel.yaml,2,data_pipelines;integration_serving,3
jinja2,2,data_pipelines;training,3
jsonschema,2,data_pipelines;integration_serving,3
scikit-learn,2,data_pipelines;training,3
build,2,integration_serving;training,3
peft,2,integration_serving;training,3
uvicorn,2,integration_serving;training,3
opentelemetry-sdk,2,integration_serving;training,3
tokenizers,2,integration_serving;training,3
python,2,integration_serving;training,3
threads,2,integration_serving;training,3
filelock,2,integration_serving;training,3
pyyaml,2,integration_serving;training,3
github.com/casbin/casbin/v2,2,cross_cutting;data_pipelines,2
github.com/casbin/govaluate,2,cross_cutting;data_pipelines,2
github.com/evanphx/json-patch/v5,2,cross_cutting;training,2
github.com/golang/glog,2,cross_cutting;training,2
github.com/nats-io/nats.go,2,cross_cutting;data_pipelines,2
github.com/nats-io/nkeys,2,cross_cutting;data_pipelines,2
github.com/nats-io/nuid,2,cross_cutting;data_pipelines,2
sigs.k8s.io/controller-runtime,2,cross_cutting;training,2
github.com/alibabacloud-go/debug,2,cross_cutting;data_pipelines,2
github.com/alibabacloud-go/tea,2,cross_cutting;data_pipelines,2
github.com/aliyun/credentials-go,2,cross_cutting;data_pipelines,2
github.com/colinmarc/hdfs/v2,2,cross_cutting;training,2
github.com/doublerebel/bellows,2,cross_cutting;training,2
github.com/evilmonkeyinc/jsonpath,2,cross_cutting;training,2
github.com/fatih/structs,2,cross_cutting;data_pipelines,2
github.com/xeipuuv/gojsonpointer,2,cross_cutting;training,2
go.opentelemetry.io/contrib/instrumentation/runtime,2,cross_cutting;training,2
github.com/stackexchange/wmi,2,cross_cutting;data_pipelines,2
github.com/cilium/ebpf,2,cross_cutting;data_pipelines,2
github.com/containerd/cgroups/v3,2,cross_cutting;data_pipelines,2
github.com/containerd/nri,2,cross_cutting;training,2
github.com/knqyf263/go-plugin,2,cross_cutting;training,2
github.com/moby/sys/capability,2,cross_cutting;training,2
github.com/moby/sys/symlink,2,cross_cutting;training,2
github.com/opencontainers/runtime-tools,2,cross_cutting;training,2
github.com/tetratelabs/wazero,2,cross_cutting;training,2
tags.cncf.io/container-device-interface,2,cross_cutting;training,2
tags.cncf.io/container-device-interface/specs-go,2,cross_cutting;training,2
github.com/masterminds/squirrel,2,cross_cutting;training,2
github.com/vividcortex/mysqlerr,2,cross_cutting;training,2
github.com/go-asn1-ber/asn1-ber,2,cross_cutting;data_pipelines,2
github.com/go-ldap/ldap/v3,2,cross_cutting;data_pipelines,2
github.com/google/wire,2,cross_cutting;training,2
github.com/gopherjs/gopherjs,2,cross_cutting;data_pipelines,2
github.com/jessevdk/go-flags,2,cross_cutting;data_pipelines,2
github.com/jtolds/gls,2,cross_cutting;data_pipelines,2
github.com/lann/builder,2,cross_cutting;training,2
github.com/lann/ps,2,cross_cutting;training,2
github.com/lestrrat-go/strftime,2,cross_cutting;training,2
github.com/matttproud/golang_protobuf_extensions,2,cross_cutting;data_pipelines,2
github.com/segmentio/asm,2,cross_cutting;data_pipelines,2
github.com/urfave/cli/v3,2,cross_cutting;training,2
gocloud.dev,2,cross_cutting;training,2
gonum.org/v1/gonum,2,cross_cutting;data_pipelines,2
semver,2,cross_cutting;integration_serving,2
github.com/go-logr/zapr,2,cross_cutting;training,2
github.com/go-task/slim-sprig/v3,2,cross_cutting;training,2
github.com/onsi/ginkgo/v2,2,cross_cutting;training,2
github.com/onsi/gomega,2,cross_cutting;training,2
github.com/opencontainers/cgroups,2,cross_cutting;training,2
github.com/tmc/grpc-websocket-proxy,2,cross_cutting;data_pipelines,2
github.com/xiang90/probing,2,cross_cutting;data_pipelines,2
go.etcd.io/etcd/pkg/v3,2,cross_cutting;data_pipelines,2
go.etcd.io/etcd/server/v3,2,cross_cutting;data_pipelines,2
github.com/bits-and-blooms/bloom/v3,2,cross_cutting;data_pipelines,2
github.com/charmbracelet/x/ansi,2,cross_cutting;data_pipelines,2
github.com/charmbracelet/x/term,2,cross_cutting;data_pipelines,2
github.com/gabriel-vasile/mimetype,2,cross_cutting;data_pipelines,2
github.com/go-playground/locales,2,cross_cutting;data_pipelines,2
github.com/go-playground/universal-translator,2,cross_cutting;data_pipelines,2
github.com/go-playground/validator/v10,2,cross_cutting;data_pipelines,2
github.com/leodido/go-urn,2,cross_cutting;data_pipelines,2
github.com/lucasb-eyer/go-colorful,2,cross_cutting;data_pipelines,2
github.com/muesli/cancelreader,2,cross_cutting;data_pipelines,2
github.com/pkg/xattr,2,cross_cutting;data_pipelines,2
github.com/puzpuzpuz/xsync/v3,2,cross_cutting;data_pipelines,2
github.com/twpayne/go-geom,2,cross_cutting;data_pipelines,2
github.com/ugorji/go/codec,2,cross_cutting;data_pipelines,2
github.com/kr/pretty,2,cross_cutting;data_pipelines,2
go.uber.org/automaxprocs,2,cross_cutting;data_pipelines,2
github.com/asaskevich/govalidator,2,cross_cutting;data_pipelines,2
github.com/jedib0t/go-pretty/v6,2,cross_cutting;data_pipelines,2
github.com/posener/complete,2,cross_cutting;data_pipelines,2
github.com/samber/lo,2,cross_cutting;data_pipelines,2
github.com/tencentcloud/tencentcloud-sdk-go/tencentcloud/common,2,cross_cutting;data_pipelines,2
google.golang.org/grpc/cmd/protoc-gen-go-grpc,2,cross_cutting;training,2
sigs.k8s.io/structured-merge-diff/v4,2,cross_cutting;data_pipelines,2
networkx,2,data_pipelines;training,2
omegaconf,2,data_pipelines;integration_serving,2
rich,2,data_pipelines;integration_serving,2
cryptography,2,data_pipelines;training,2
python-dateutil,2,data_pipelines;integration_serving,2
sqlalchemy,2,data_pipelines;training,2
",",2,data_pipelines;training,2
lxml,2,data_pipelines;integration_serving,2
github.com/kr/text,2,data_pipelines;training,2
github.com/eapache/go-resiliency,2,data_pipelines;training,2
huggingface-hub,2,data_pipelines;training,2
evaluate,2,integration_serving;training,2
matplotlib,2,integration_serving;training,2
python3,2,integration_serving;training,2
sanitizer,2,integration_serving;training,2
pytest,2,integration_serving;training,2
wheel,2,integration_serving;training,2
sympy,2,integration_serving;training,2
cachetools,2,integration_serving;training,2
cloudpickle,2,integration_serving;training,2
opentelemetry-api,2,integration_serving;training,2
