layer,project,repo,status,ecosystems,direct_deps,transitive_deps,transitive_method
data_pipelines,minio,minio/minio,selected,"go",259,599,go:go_list_m_all
data_pipelines,kafka,apache/kafka,selected,"python,gradle",182,510,python:uv_pip_compile;gradle:gradle_direct+gradle_dependencies
data_pipelines,airflow,apache/airflow,selected,"python",2,117,python:uv_pip_compile
data_pipelines,spark,apache/spark,selected,"python,maven",11,556,python:uv_pip_compile;maven:mvn_tree
data_pipelines,label-studio,HumanSignal/label-studio,selected,"python",58,153,python:uv_pip_compile
data_pipelines,great_expectations,great-expectations/great_expectations,selected,"python",20,34,python:uv_pip_compile
data_pipelines,dvc,iterative/dvc,selected,"python",42,100,python:uv_pip_compile
data_pipelines,sentence-transformers,UKPLab/sentence-transformers,selected,"python",8,57,python:uv_pip_compile
data_pipelines,milvus,milvus-io/milvus,selected,"go",300,813,go:go_list_m_all
training,pipelines,kubeflow/pipelines,selected,"python,go",240,776,python:uv_pip_compile;go:go_list_m_all
training,slurm,SchedMD/slurm,selected,"cpp",23,-1,cpp:none+configure.ac
training,nvidia-container-toolkit,NVIDIA/nvidia-container-toolkit,selected,"go",41,94,go:go_list_m_all_readonly
training,cuda-python,NVIDIA/cuda-python,selected,"python",3,2,python:uv_pip_compile
training,nccl,NVIDIA/nccl,selected,"python,cpp",7,4,python:uv_pip_compile;cpp:CMakeLists.txt
training,pytorch,pytorch/pytorch,selected,"python,cpp",41,9,python:uv_pip_compile;cpp:CMakeLists.txt
training,DeepSpeed,microsoft/DeepSpeed,selected,"python",0,42,python:uv_pip_compile
training,Megatron-LM,NVIDIA/Megatron-LM,selected,"python",3,31,python:uv_pip_compile
training,tokenizers,huggingface/tokenizers,selected,"python",1,22,python:uv_pip_compile
training,datasets,huggingface/datasets,selected,"python",0,41,python:uv_pip_compile
training,peft,huggingface/peft,selected,"python",16,55,python:uv_pip_compile
training,trl,huggingface/trl,selected,"python",4,74,python:uv_pip_compile
training,lm-evaluation-harness,EleutherAI/lm-evaluation-harness,selected,"python",15,73,python:uv_pip_compile
training,mergekit,arcee-ai/mergekit,selected,"python",16,82,python:uv_pip_compile
training,mlflow,mlflow/mlflow,selected,"python",36,78,python:uv_pip_compile
training,huggingface_hub,huggingface/huggingface_hub,selected,"python",5,21,python:uv_pip_compile
training,transformers,huggingface/transformers,selected,"python",1,26,python:uv_pip_compile
integration_serving,onnx,onnx/onnx,selected,"python,cpp",23,4,python:uv_pip_compile;cpp:CMakeLists.txt
integration_serving,llm-awq,mit-han-lab/llm-awq,selected,"python",16,151,python:uv_pip_compile
integration_serving,vllm,vllm-project/vllm,selected,"python,cpp",58,158,python:uv_pip_compile;cpp:CMakeLists.txt
integration_serving,TensorRT-LLM,NVIDIA/TensorRT-LLM,selected,"python",81,187,python:uv_pip_compile
integration_serving,server,triton-inference-server/server,selected,"python,cpp",0,-1,none
integration_serving,onnxruntime,microsoft/onnxruntime,selected,"python",12,4,python:uv_pip_compile
integration_serving,ray,ray-project/ray,selected,"python,cpp",0,-1,none
integration_serving,envoy,envoyproxy/envoy,selected,"python,go,rust,cpp",12,359,python:uv_pip_compile;go:go_list_m_all;rust:cargo_metadata
integration_serving,langchain,langchain-ai/langchain,selected,"python",80,152,python:uv_pip_compile
integration_serving,promptflow,microsoft/promptflow,selected,"python",0,216,python:uv_pip_compile
integration_serving,guardrails,guardrails-ai/guardrails,selected,"python",27,98,python:uv_pip_compile
cross_cutting,kubernetes,kubernetes/kubernetes,selected,"go",202,257,go:go_list_m_all_readonly
cross_cutting,containerd,containerd/containerd,selected,"go",155,314,go:go_list_m_all_readonly
cross_cutting,terraform,hashicorp/terraform,selected,"go",272,563,go:go_list_m_all
cross_cutting,argo-cd,argoproj/argo-cd,selected,"go",308,699,go:go_list_m_all
cross_cutting,argo-workflows,argoproj/argo-workflows,selected,"go",362,805,go:go_list_m_all
cross_cutting,prometheus,prometheus/prometheus,selected,"go",251,533,go:go_list_m_all
cross_cutting,grafana,grafana/grafana,selected,"go,npm",1011,1527,go:go_list_m_all;npm:npm_ls
cross_cutting,opentelemetry-collector,open-telemetry/opentelemetry-collector,selected,"go",12,51,go:go_list_m_all
cross_cutting,loki,grafana/loki,selected,"go",448,1061,go:go_list_m_all_readonly
cross_cutting,linux,torvalds/linux,selected,"",0,-1,none
cross_cutting,open-gpu-kernel-modules,NVIDIA/open-gpu-kernel-modules,selected,"",0,-1,none
