timestamp	status	layer	repo	ecosystems	direct	transitive	method
2026-04-07T11:33:56Z	success	data_pipelines	minio/minio	go	259	599	go:go_list_m_all
2026-04-07T11:34:54Z	success	data_pipelines	apache/kafka	python,gradle	182	510	python:uv_pip_compile;gradle:gradle_direct+gradle_dependencies
2026-04-07T11:34:54Z	success	data_pipelines	apache/airflow	python	2	117	python:uv_pip_compile
2026-04-07T11:35:02Z	success	data_pipelines	apache/spark	python,maven	11	556	python:uv_pip_compile;maven:mvn_tree
2026-04-07T11:35:02Z	success	data_pipelines	HumanSignal/label-studio	python	58	153	python:uv_pip_compile
2026-04-07T11:35:03Z	success	data_pipelines	great-expectations/great_expectations	python	20	34	python:uv_pip_compile
2026-04-07T11:35:03Z	success	data_pipelines	iterative/dvc	python	42	100	python:uv_pip_compile
2026-04-07T11:35:04Z	success	data_pipelines	UKPLab/sentence-transformers	python	8	57	python:uv_pip_compile
2026-04-07T11:35:04Z	success	data_pipelines	milvus-io/milvus	go	300	813	go:go_list_m_all
2026-04-07T11:35:06Z	success	training	kubeflow/pipelines	python,go	240	776	python:uv_pip_compile;go:go_list_m_all
2026-04-07T11:35:06Z	success	training	SchedMD/slurm	cpp	23	-1	cpp:none+configure.ac
2026-04-07T11:35:07Z	success	training	NVIDIA/nvidia-container-toolkit	go	41	94	go:go_list_m_all_readonly
2026-04-07T11:35:08Z	success	training	NVIDIA/cuda-python	python	3	2	python:uv_pip_compile
2026-04-07T11:35:08Z	success	training	NVIDIA/nccl	python,cpp	7	4	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:09Z	success	training	pytorch/pytorch	python,cpp	41	9	python:uv_pip_compile;cpp:CMakeLists.txt
2026-04-07T11:35:09Z	success	training	microsoft/DeepSpeed	python	0	42	python:uv_pip_compile
2026-04-07T11:35:09Z	success	training	NVIDIA/Megatron-LM	python	3	31	python:uv_pip_compile
2026-04-07T11:35:10Z	success	training	huggingface/tokenizers	python	1	22	python:uv_pip_compile
2026-04-07T11:35:11Z	success	training	huggingface/datasets	python	0	41	python:uv_pip_compile
2026-04-07T11:35:11Z	success	training	huggingface/peft	python	16	55	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	huggingface/trl	python	4	74	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	EleutherAI/lm-evaluation-harness	python	15	73	python:uv_pip_compile
2026-04-07T11:35:12Z	success	training	arcee-ai/mergekit	python	16	82	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	mlflow/mlflow	python	36	78	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	huggingface/huggingface_hub	python	5	21	python:uv_pip_compile
2026-04-07T11:35:13Z	success	training	huggingface/transformers	python	1	26	python:uv_pip_compile
